config,label,lidar,spectral,featureset,seed,macro_f1,macro_recall,macro_precision,mean_iou,overall_accuracy,in_channels,git_commit,class,precision,recall,f1,iou,support
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,2,0.5153,0.551375,0.51605,0.3797,0.6611,26,unknown,FSW,0.6032,0.4792,0.5341,0.3644,1327131
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,2,0.5153,0.551375,0.51605,0.3797,0.6611,26,unknown,SSW,0.4139,0.8028,0.5462,0.3757,793850
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,2,0.5153,0.551375,0.51605,0.3797,0.6611,26,unknown,UPL,0.8789,0.7607,0.8155,0.6885,3418375
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,3,0.4746,0.46240000000000003,0.49915,0.3511,0.7385,26,unknown,EMW,0.5694,0.3604,0.4414,0.2832,639905
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,3,0.4746,0.46240000000000003,0.49915,0.3511,0.7385,26,unknown,FSW,0.4226,0.4643,0.4424,0.2841,1517832
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,3,0.4746,0.46240000000000003,0.49915,0.3511,0.7385,26,unknown,SSW,0.1491,0.1621,0.1554,0.0842,317108
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,3,0.4746,0.46240000000000003,0.49915,0.3511,0.7385,26,unknown,UPL,0.8555,0.8628,0.8591,0.7531,6765731
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,4,0.5323,0.5263,0.54775,0.4018,0.7864,26,unknown,EMW,0.4397,0.3059,0.3608,0.2201,549262
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,4,0.5323,0.5263,0.54775,0.4018,0.7864,26,unknown,FSW,0.5493,0.4971,0.5219,0.3531,1170508
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,4,0.5323,0.5263,0.54775,0.4018,0.7864,26,unknown,SSW,0.302,0.3888,0.34,0.2048,623619
nwi_chmret_leafoff,nwi,chmret,leafoff,chmret_leafoff,4,0.5323,0.5263,0.54775,0.4018,0.7864,26,unknown,UPL,0.9,0.9134,0.9067,0.8293,6700579
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,0,0.6287,0.6732,0.631275,0.4756,0.7163,26,unknown,EMW,0.6227,0.6689,0.645,0.476,621544
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,0,0.6287,0.6732,0.631275,0.4756,0.7163,26,unknown,FSW,0.6093,0.4291,0.5035,0.3365,966100
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,0,0.6287,0.6732,0.631275,0.4756,0.7163,26,unknown,SSW,0.3772,0.7932,0.5113,0.3434,566727
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,0,0.6287,0.6732,0.631275,0.4756,0.7163,26,unknown,UPL,0.9159,0.8016,0.855,0.7467,3088482
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,1,0.6371,0.68635,0.6251,0.4798,0.7194,26,unknown,EMW,0.4345,0.8105,0.5657,0.3945,532418
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,1,0.6371,0.68635,0.6251,0.4798,0.7194,26,unknown,FSW,0.6989,0.5258,0.6001,0.4287,1459626
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,1,0.6371,0.68635,0.6251,0.4798,0.7194,26,unknown,SSW,0.497,0.5983,0.543,0.3727,662690
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,1,0.6371,0.68635,0.6251,0.4798,0.7194,26,unknown,UPL,0.87,0.8108,0.8393,0.7232,3440085
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,2,0.5592,0.599475,0.555075,0.4157,0.6824,26,unknown,EMW,0.2447,0.2442,0.2445,0.1393,424418
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,2,0.5592,0.599475,0.555075,0.4157,0.6824,26,unknown,FSW,0.6406,0.5995,0.6194,0.4486,1327131
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,2,0.5592,0.599475,0.555075,0.4157,0.6824,26,unknown,SSW,0.4226,0.8163,0.5569,0.3859,793850
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,2,0.5592,0.599475,0.555075,0.4157,0.6824,26,unknown,UPL,0.9124,0.7379,0.8159,0.6891,3418375
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,3,0.5088,0.52655,0.5008250000000001,0.383,0.7374,26,unknown,EMW,0.5467,0.5313,0.5389,0.3689,639905
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,3,0.5088,0.52655,0.5008250000000001,0.383,0.7374,26,unknown,FSW,0.4536,0.6022,0.5174,0.349,1517832
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,3,0.5088,0.52655,0.5008250000000001,0.383,0.7374,26,unknown,SSW,0.1,0.1583,0.1226,0.0653,317108
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,3,0.5088,0.52655,0.5008250000000001,0.383,0.7374,26,unknown,UPL,0.903,0.8144,0.8564,0.7489,6765731
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,4,0.5648,0.581925,0.557025,0.4289,0.7916,26,unknown,EMW,0.398,0.5586,0.4648,0.3027,549262
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,4,0.5648,0.581925,0.557025,0.4289,0.7916,26,unknown,FSW,0.5886,0.4991,0.5402,0.37,1170508
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,4,0.5648,0.581925,0.557025,0.4289,0.7916,26,unknown,SSW,0.3219,0.3689,0.3438,0.2076,623619
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,4,0.5648,0.581925,0.557025,0.4289,0.7916,26,unknown,UPL,0.9196,0.9011,0.9102,0.8353,6700579
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,0,0.6534,0.689175,0.64485,0.5042,0.7509,26,unknown,EMW,0.508,0.8795,0.644,0.4749,621544
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,0,0.6534,0.689175,0.64485,0.5042,0.7509,26,unknown,FSW,0.6862,0.6244,0.6538,0.4857,966100
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,0,0.6534,0.689175,0.64485,0.5042,0.7509,26,unknown,SSW,0.4651,0.4291,0.4463,0.2873,566727
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,0,0.6534,0.689175,0.64485,0.5042,0.7509,26,unknown,UPL,0.9201,0.8237,0.8692,0.7687,3088482
