config,seed,class,channel_index,geomorphon_value,geomorphon_form,mean_abs_shap
fld_chmret_leafoff,4,overall,2,3,ridge,1.1049442036892287e-05
fld_chmret_leafoff,4,overall,3,4,shoulder,7.463887413905468e-06
fld_chmret_leafoff,4,overall,4,5,spur,1.3929911801824346e-05
fld_chmret_leafoff,4,overall,5,6,slope,3.392809958313592e-05
fld_chmret_leafoff,4,overall,6,7,hollow,1.660445377638098e-05
fld_chmret_leafoff,4,overall,7,8,footslope,2.4406592274317518e-05
fld_chmret_leafoff,4,overall,8,9,valley,2.8370341169647872e-05
fld_chmret_leafoff,4,overall,9,10,pit,3.701541345435544e-06
fld_chmret_leafon,0,EMW,0,1,flat,5.5218348279595375e-05
fld_chmret_leafon,0,EMW,1,2,peak,1.8585476482257945e-06
fld_chmret_leafon,0,EMW,2,3,ridge,1.0463884791533928e-05
fld_chmret_leafon,0,EMW,3,4,shoulder,1.4963408830226399e-05
fld_chmret_leafon,0,EMW,4,5,spur,1.4327115422929637e-05
fld_chmret_leafon,0,EMW,5,6,slope,3.96585492126178e-05
fld_chmret_leafon,0,EMW,6,7,hollow,1.4114183613855857e-05
fld_chmret_leafon,0,EMW,7,8,footslope,2.725995182117913e-05
fld_chmret_leafon,0,EMW,8,9,valley,2.649462294357363e-05
fld_chmret_leafon,0,EMW,9,10,pit,5.511174549610587e-06
fld_chmret_leafon,0,FSW,0,1,flat,6.416068936232477e-05
fld_chmret_leafon,0,FSW,1,2,peak,3.964843017456587e-06
fld_chmret_leafon,0,FSW,2,3,ridge,2.107832915498875e-05
fld_chmret_leafon,0,FSW,3,4,shoulder,2.239205059595406e-05
fld_chmret_leafon,0,FSW,4,5,spur,2.548121483414434e-05
fld_chmret_leafon,0,FSW,5,6,slope,5.922526906942949e-05
fld_chmret_leafon,0,FSW,6,7,hollow,2.546337418607436e-05
fld_chmret_leafon,0,FSW,7,8,footslope,4.3377094698371366e-05
fld_chmret_leafon,0,FSW,8,9,valley,5.108882760396227e-05
fld_chmret_leafon,0,FSW,9,10,pit,1.0805301826621871e-05
fld_chmret_leafon,0,SSW,0,1,flat,4.9004611355485395e-05
fld_chmret_leafon,0,SSW,1,2,peak,2.586436721685459e-06
fld_chmret_leafon,0,SSW,2,3,ridge,1.61320003826404e-05
fld_chmret_leafon,0,SSW,3,4,shoulder,1.914102722366806e-05
fld_chmret_leafon,0,SSW,4,5,spur,1.560868440719787e-05
fld_chmret_leafon,0,SSW,5,6,slope,5.054072244092822e-05
fld_chmret_leafon,0,SSW,6,7,hollow,1.6771013179095462e-05
